type;brick;family;class;segment;FamilyId;OperationCode
bonnet cache-oreilles;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;8715715;ALUXE15
bustier;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;10340616;ETAM57
cardigan;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10625783;BERSHKA35
chapeau;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;10183947;BERSHKA34
chaussures;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10378870;ADIDAS67
embauchoirs;Shoe Cleaning/Care Preparations;Accessoires à Chaussures;Chaussures;Chaussures;9037811;LADYSSECRET1
top;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10065716;BANBAT3
trousse;Trousses / Mallettes de Toilette;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9929792;ELPOTRO1
mitaines;"Gants/Moufles ";Accessoires Vestimentaires;Vêtements;Vêtements;10336390;LOLLIPOPS33
pantalon de sport;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10484178;FREDDY9
parapluie;Parapluies / Ombrelles;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10002708;ISOTONER37
pochette;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9668083;ACARDONE4
robe longue;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10065920;BANBAT3
salomés;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8907018;ANDREACONTI3
cache-cœur;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183272;BERSHKA34
casquette;"Vêtements de Sport – Coiffes ";Vêtements de Sport;Vêtements;Vêtements;10181674;SPARCO23
chaussons;Chaussures d'Intérieur – Partiellement Ouvertes;Chaussures d'Intérieur;Chaussures;Chaussures;9315518;INBLU4
culotte de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10278250;JROBIN7
débardeur de sport;Vêtements de Sport - Top/T-shirt/polo/chemise;Vêtements de Sport;Vêtements;Vêtements;10483901;FREDDY9
pantalon de sport;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10484104;FREDDY9
t-shirt;Vêtements de Sport - Top/T-shirt/polo/chemise;Vêtements de Sport;Vêtements;Vêtements;10484332;FREDDY9
veste longue;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9638719;SSWAROVSKI2
pashmina;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;10521133;BROOKSFIELD4
pull;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10182943;BERSHKA34
robe de plage;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10333698;BMOON39
slippers;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10300455;AGUARDIANI14
soutien-gorge balconnet;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;10262342;KOOKAI73
trousse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9872647;BORBONESE6
baskets;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10023298;CAMPER34
bottes de pluie;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;6007328;MINIMELISSA1
bustier;Chemises/Chemisiers/Polos/T-shirts;Vêtements pour le Haut du Corps;Vêtements;Vêtements;10340604;ETAM57
ceinture élastique;"Ceintures/Bretelles ";Accessoires Vestimentaires;Vêtements;Vêtements;9720266;HACKETT25
chapeau d’été;Chapeaux/Casquettes/Bonnets;Accessoires Vestimentaires;Vêtements;Vêtements;10156752;KEUROSWAN19
corsaire de running;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10484093;FREDDY9
pantalon chino;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10031866;BBROTHERS15
soutien-gorge bandeau;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10333625;BMOON39
trousse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9844367;ARUIZ88
t-shirt;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10108733;LACOSTE38
vanity case;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7087403;JLSCHERRER31
corset;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;9707267;ROSY19
jean 7/8;Pantalons/Shorts;Vêtements pour le Bas du Corps;Vêtements;Vêtements;9989906;BONOBO10
jupe;Jupes;Vêtements pour le Bas du Corps;Vêtements;Vêtements;10257976;ADAGATTI7
jupe longue;Jupes;Vêtements pour le Bas du Corps;Vêtements;Vêtements;9548837;CHARLISE3
legging 7/8;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10484014;FREDDY9
nuisette;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10340467;ETAM57
babies;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9413256;AYNEOSENS9
ballerines;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;10374453;ABRILFLOWERS1
boots;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;10300621;AFERMANI4
bottes après-ski;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9069273;ANTISSHOES3
chaussons;Chaussures d'Intérieur – Partiellement Ouvertes;Chaussures d'Intérieur;Chaussures;Chaussures;9785712;BAGLLERINA3
jarretière;"Jarretelles/Jarretières ";Sous–vêtements;Vêtements;Vêtements;10016095;MAISONLEJABY11
kimono;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183395;BERSHKA34
porte-documents;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;8380758;FAGUO9
sac;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9963312;CRUCIANIC1
sandales;Chaussures d'Intérieur – Partiellement Ouvertes;Chaussures d'Intérieur;Chaussures;Chaussures;10158568;ALUXE18
bottes;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8715647;ALUXE15
brassière;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;10625719;BERSHKA35
guêpière;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;9707262;ROSY19
peignoir;"Robes de Chambre ";Vêtements de Nuit;Vêtements;Vêtements;10340410;ETAM57
porte-étiquettes;Accessoires Pour Bagages/Sacs Personnels/Parapluies;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10255674;LIPAULT6
sac banane;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10250188;SCORPBAY1
sous-pull;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10258012;ADAGATTI7
trousse à bijoux;Porte-Documents;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10135904;PMENDIGOTE10
valise grand volume;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9824453;TORRENTE72
veste;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10410799;BIKKEMBERGS38
boardshort;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10521207;BROOKSFIELD4
body;"Sous–vêtements d’une Pièce ";Sous–vêtements;Vêtements;Vêtements;10340264;ETAM57
écharpe tube;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;10130819;THEHIPTEE3
pantalon;"Pantalons/Shorts de Nuit ";Vêtements de Nuit;Vêtements;Vêtements;10340596;ETAM57
pull sans manches;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10031839;BBROTHERS15
soutien-gorge classique;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10278321;JROBIN7
sweat;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10250217;AAPPAREL5
besace;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7841951;AAPPAREL5
ceinture élastique;"Ceintures/Bretelles ";Accessoires Vestimentaires;Vêtements;Vêtements;10183845;BERSHKA34
"chaussures de tennis ";Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;7643911;MERRELL13
minaudière;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9978604;CUPLE11
pull sans manches;"Sweat-shirts/Pulls ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;9989995;BONOBO10
sandales à talons;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;5285461;CASTANER13
sandales compensées;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;7019740;CASTANER16
soutien-gorge corbeille;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10262594;SLOGGI28
top;Hauts de Nuit/Robes et Chemises de Nuit;Vêtements de Nuit;Vêtements;Vêtements;10340600;ETAM57
blazer;"Vestes/Manteaux/Cardigans/Gilets ";Vêtements pour le Haut du Corps;Vêtements;Vêtements;10183210;BERSHKA34
body-string;"Sous–vêtements d’une Pièce ";Sous–vêtements;Vêtements;Vêtements;9707259;ROSY19
chaussures de randonnée;Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;9308891;MERRELL15
low-boots;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9850194;ALDO13
pantalon;"Vêtements de Sport – Vêtements pour le Bas du Corps ";Vêtements de Sport;Vêtements;Vêtements;10410848;BIKKEMBERGS38
short de bain;Maillot de bain - Bas;Balnéaire;Vêtements;Vêtements;10080471;FACONNABLE43
shorty;"Culottes/Boxer/Caleçons ";Sous–vêtements;Vêtements;Vêtements;10340427;ETAM57
soutien-gorge corbeille;Maillot de bain - Haut;Balnéaire;Vêtements;Vêtements;10278334;JROBIN7
t-shirt;Vêtements de Sport - Top/T-shirt/polo/chemise;Vêtements de Sport;Vêtements;Vêtements;10484323;FREDDY9
barboteuse;"Combinaisons/Bodies ";Vêtements d’une Pièce;Vêtements;Vêtements;10157794;DISNEY168
bottes de pluie;Bottes;Chaussures Polyvalentes;Chaussures;Chaussures;9617953;BONLY16
bottes de pluie;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;8904966;MELISSA7
ceinture;"Ceintures/Bretelles ";Accessoires Vestimentaires;Vêtements;Vêtements;10136950;AMORATO25
chauffe-épaules;"Écharpes/Cravates/Foulards ";Accessoires Vestimentaires;Vêtements;Vêtements;9877266;TIMBERLAND75
chaussures de futsal;Sports spécifiques;Chaussures de Sport;Chaussures;Chaussures;9408462;PDORO19
sac à rabat;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9668083;ACARDONE4
sac à roulettes;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7087406;JLSCHERRER31
