type;brick;family;class;segment;FamilyId;OperationCode
bottines;Chaussures classiques;Chaussures Polyvalentes;Chaussures;Chaussures;9465850;AFERMANI3
combinaison de natation;"Vêtements de Sport – Vêtements d’une Pièce ";Vêtements de Sport;Vêtements;Vêtements;10246889;LEGEA1
combishort;"Robes/combinaisons ";Vêtements d’une Pièce;Vêtements;Vêtements;10183416;BERSHKA34
housse pour ordinateur;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10255748;LIPAULT6
minaudière;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10753683;CPAZOLINI1
sac trapèze;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;8705481;PAQUETAGE27
sac week-end;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;10445076;KESSLORD21
sacoche transformable en sac à dos;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9953610;CNOIR17
set valise cabine + vanity;Bagages / Valises / Porte-Vêtements;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;7087375;JLSCHERRER31
soutien-gorge push-up;"Soutiens–gorge/Guêpières/Corsets ";Sous–vêtements;Vêtements;Vêtements;10340730;ETAM57
trousse;Sacs à mains / à bandoulière;Sacs personnels/Bagages/Parapluies;Accessoires Corporels;Accessoires corporels;9844393;ARUIZ88
